pid;gender;rank;rank_s;rank_cj;name;born;nation;category;bweight;snatch1;snatch2;snatch3;snatch;jerk1;jerk2;jerk3;jerk;total;event;date
"=""55""";"=""w""";"=""25""";"=""24""";"=""25""";"=""LAGOA Maria""";"=""01.01.1974""";"=""POR""";"=""53""";"=""52.63""";"=""*62.5""";"=""62.5""";"=""*65""";"=""62.5""";"=""75""";"=""*77.5""";"=""77.5""";"=""77.5""";"=""140""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""56""";"=""w""";"=""26""";"=""26""";"=""26""";"=""PIKOVA Andrea""";"=""01.01.1971""";"=""SVK""";"=""53""";"=""52.88""";"=""*52.5""";"=""52.5""";"=""*55""";"=""52.5""";"=""67.5""";"=""72.5""";"=""*75""";"=""72.5""";"=""125""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""57""";"=""w""";"=""---""";"=""---""";"=""---""";"=""BOHM Maria""";"=""18.08.1974""";"=""SWE""";"=""53""";"=""52.88""";"=""*67.5""";"=""*67.5""";"=""*67.5""";"=""---""";"=""---""";"=""---""";"=""---""";"=""---""";"=""0""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""58""";"=""m""";"=""1""";"=""1""";"=""1""";"=""MUTLU Halil""";"=""14.07.1973""";"=""TUR""";"=""56""";"=""55.83""";"=""130""";"=""136""";"=""137.5""";"=""137.5""";"=""160""";"=""166""";"=""---""";"=""166""";"=""302.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""59""";"=""m""";"=""2""";"=""3""";"=""4""";"=""JIGAU Adrian Ioan""";"=""06.01.1970""";"=""ROU""";"=""56""";"=""55.90""";"=""125""";"=""*127.5""";"=""*127.5""";"=""125""";"=""150""";"=""155""";"=""157.5""";"=""157.5""";"=""282.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""60""";"=""m""";"=""3""";"=""4""";"=""2""";"=""WANG Shin-Yuan""";"=""06.07.1976""";"=""TPE""";"=""56""";"=""55.60""";"=""120""";"=""122.5""";"=""*125""";"=""122.5""";"=""150""";"=""155""";"=""157.5""";"=""157.5""";"=""280""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""61""";"=""m""";"=""4""";"=""6""";"=""3""";"=""IVANOV Ivan""";"=""01.01.1971""";"=""BUL""";"=""56""";"=""55.87""";"=""115""";"=""120""";"=""122.5""";"=""122.5""";"=""150""";"=""155""";"=""157.5""";"=""157.5""";"=""280""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""62""";"=""m""";"=""5""";"=""5""";"=""5""";"=""WU Wenxiong""";"=""01.01.1981""";"=""CHN""";"=""56""";"=""55.61""";"=""115""";"=""120""";"=""122.5""";"=""122.5""";"=""150""";"=""155""";"=""*157.5""";"=""155""";"=""277.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""63""";"=""m""";"=""6""";"=""2""";"=""7""";"=""ALVAREZ BOULET Sergio""";"=""11.10.1979""";"=""CUB""";"=""56""";"=""55.78""";"=""*117.5""";"=""117.5""";"=""125""";"=""125""";"=""145""";"=""150""";"=""*155""";"=""150""";"=""275""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""64""";"=""m""";"=""7""";"=""8""";"=""6""";"=""LYKHVALD Olexandr""";"=""01.01.1978""";"=""UKR""";"=""56""";"=""55.95""";"=""120""";"=""*125""";"=""*125""";"=""120""";"=""147.5""";"=""152.5""";"=""*157.5""";"=""152.5""";"=""272.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""65""";"=""m""";"=""8""";"=""7""";"=""8""";"=""LIAO Weixiao""";"=""01.01.1976""";"=""CHN""";"=""56""";"=""55.92""";"=""*120""";"=""120""";"=""*125""";"=""120""";"=""150""";"=""*157.5""";"=""*160""";"=""150""";"=""270""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""66""";"=""m""";"=""9""";"=""9""";"=""9""";"=""YANG Chin-Yi""";"=""15.05.1981""";"=""TPE""";"=""56""";"=""55.21""";"=""115""";"=""*120""";"=""*120""";"=""115""";"=""145""";"=""147.5""";"=""*150""";"=""147.5""";"=""262.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""67""";"=""m""";"=""10""";"=""13""";"=""10""";"=""HWANG Kyu-Dong""";"=""01.01.1975""";"=""KOR""";"=""56""";"=""55.92""";"=""115""";"=""*120""";"=""*120""";"=""115""";"=""140""";"=""147.5""";"=""*152.5""";"=""147.5""";"=""262.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""68""";"=""m""";"=""11""";"=""12""";"=""11""";"=""BONNEL Eric""";"=""18.08.1974""";"=""FRA""";"=""56""";"=""55.72""";"=""115""";"=""*120""";"=""*120""";"=""115""";"=""135""";"=""*140""";"=""142.5""";"=""142.5""";"=""257.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""69""";"=""m""";"=""12""";"=""10""";"=""12""";"=""TAGASHIRA Koki""";"=""01.01.1973""";"=""JPN""";"=""56""";"=""55.26""";"=""107.5""";"=""112.5""";"=""115""";"=""115""";"=""135""";"=""*137.5""";"=""140""";"=""140""";"=""255""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""70""";"=""m""";"=""13""";"=""11""";"=""16""";"=""GRABUCEA Igor""";"=""29.04.1976""";"=""MDA""";"=""56""";"=""55.63""";"=""107.5""";"=""112.5""";"=""115""";"=""115""";"=""137.5""";"=""*142.5""";"=""*142.5""";"=""137.5""";"=""252.5""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
"=""71""";"=""m""";"=""14""";"=""14""";"=""14""";"=""CASTRO Nelson""";"=""29.03.1974""";"=""COL""";"=""56""";"=""55.61""";"=""105""";"=""*110""";"=""110""";"=""110""";"=""135""";"=""140""";"=""*142.5""";"=""140""";"=""250""";"=""70th MEN's and 13th WOMEN's WORLD CHAMPIONSHIPS""";"=""11.1999""";
